Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion;;;;;;;;;;;;;
1;8:00;01;2015;;12;-1;1,4;359,09;104,448;0,063;;;0,020;0,020;;0;0,009;0,083;356,84;114,815;-0,129;5:00;9;;0,162;;;0,009;0,033;219,263;-0,066;0,182;0,116;337,35;48,901;0,041;0,004;0,004;;;0,006;0,045;268,164;-0,025;0,186;0,161;2,05;0,177;;0;;;;;;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
2;8:00;01;2015;;13;-1;1,1;359,10;104,511;0,063;;;0,020;0,020;;0;0,007;0,083;356,82;114,687;-0,128;5:00;9;;0,162;;0;0,007;0,034;219,198;-0,065;0,182;0,117;337,36;48,941;0,040;0,004;0,004;;;0,004;0,044;268,139;-0,025;0,186;0,161;2,05;0,177;1287;228;300,78;0,042;0,221;0,263;#ÁVALOR!;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
3;8:00;01;2015;;13;5;1,5;359,12;104,637;0,126;;;0,020;0,020;;0;0,009;0,146;356,78;114,431;-0,256;5:45;9;;0,186;;0;0,010;-0,070;219,068;-0,130;0,206;0,076;337,36;48,941;0,000;0,004;0,004;;;0,006;0,004;268,009;-0,130;0,210;0,080;2,05;0,177;;0;;;;;;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
4;8:00;01;2015;;16;2;1,8;359,13;104,700;0,063;;;0,020;0,020;;0;0,011;0,083;356,76;114,304;-0,127;6:00;9;;0,194;;0;0,011;0,067;219,004;-0,064;0,214;0,150;337,37;48,981;0,040;0,004;0,004;;;0,007;0,044;267,985;-0,024;0,218;0,194;2,05;0,177;;0;;;;;;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
5;8:00;01;2015;;16;2;1,0;359,14;104,763;0,063;;;0,020;0,020;;0;0,006;0,083;356,74;114,176;-0,128;6:00;9;;0,194;;0;0,006;0,066;218,939;-0,065;0,214;0,149;337,38;49,022;0,041;0,004;0,004;;;0,004;0,045;267,961;-0,024;0,218;0,194;2,05;0,177;1100;195;301,27;0,086;0,183;0,269;#ÁVALOR!;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
6;8:00;01;2015;;14;1;1,2;359,15;104,826;0,063;;;0,020;0,020;;0;0,008;0,083;356,72;114,048;-0,128;5:00;9;;0,162;;0;0,008;0,034;218,874;-0,065;0,182;0,117;337,38;49,022;0,000;0,004;0,004;;;0,005;0,004;267,896;-0,065;0,186;0,121;2,05;0,177;;0;;;;;;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
7;8:00;01;2015;;12;3;0,5;359,16;104,889;0,063;;;0,020;0,020;;0;0,003;0,083;356,70;113,921;-0,127;5:00;9;;0,162;;0;0,003;0,035;218,810;-0,064;0,182;0,118;337,38;49,022;0,000;0,004;0,004;;;0,002;0,004;267,832;-0,064;0,186;0,122;2,05;0,177;971;172;301,20;0,079;0,190;0,269;#ÁVALOR!;1,7;24;0;0,147;0,0;24;0;0,000;0,35;24;0;0,030;0;0,177;;;;;;;;;;;;;;;;
8;8:00;01;2015;;13;3;1,1;359,16;104,889;0,000;;;0,020;0,020;;0;0,007;0,020;356,68;113,793;-0,128;5:00;9;;0,162;;0;0,007;0,034;218,682;-0,128;0,182;0,054;337,39;49,062;0,040;0,004;0,004;;;0,004;0,044;267,744;-0,088;0,186;0,098;1,65;0,145;1065;155;301,70;0,129;0,213;0,342;0,0733;1,3;22;0;0,115;0,0;24;0;0,000;0,35;24;0;0,030;0;0,145;;;;;;;;;;;;;;;;
9;8:00;01;2015;;14;7;1,6;359,17;104,952;0,063;;;0,020;0,020;2048;41;0,010;0,083;356,68;113,793;0,000;;;;0,000;;0;0,010;0,000;218,745;0,063;0,020;0,083;337,37;48,981;-0,081;0,004;0,13;;;0,006;0,049;267,726;-0,018;0,150;0,132;1,65;0,143;1065;152;300,75;0,041;0,254;0,295;-0,047;1,3;24;0;0,112;0,0;24;0;0,000;0,35;24;0;0,030;0;0,143;;;;;;;;;;;;;;;;
10;8:00;01;2015;;16;7;1,8;359,18;105,015;0,063;;;0,020;0,020;;0;0,011;0,083;356,68;113,793;0,000;;;;0,000;;0;0,011;0,000;218,808;0,063;0,020;0,083;337,34;48,860;-0,121;0,004;0,148;;;0,007;0,027;267,668;-0,058;0,168;0,110;1,65;0,143;844;120;;;;;;1,3;24;0;0,112;0,0;24;0;0,000;0,35;24;0;0,030;0;0,143;;;;;;;;;;;;;;;;
