Dia;Hora;Mes;Anyo;Lluvia;Temperatura_Max;Temperatura_Min;Evaporacion;Cota_guadalhorce;Volumen_embalsado_guadalhorce;Variacion_volumen_guadalhorce;Tiempo_desembalse_guadalhorce;Caudal_desembalse_guadalhorce;Filtracion_guadalhorce;Volumen_desembalse_guadalhorce;Salinidad_guadalhorce;Toneladas_sal_guadalhorce;Volumen_evaporado_guadalhorce;Aportacion_aparente_guadalhorce;Cota_guadalteba;Volumen_embalsado_guadalteba;Variacion_volumen_guadalteba;Tiempo_desembalse_guadalteba;Caudal_desembalse_guadalteba;Filtraciones_guadalteba;Volumen_desembalse_guadalteba;Salinidad_guadalteba;Toneladas_sal_guadalteba;Volumen_evaporado_guadalteba;Aportacion_aparente_guadalteba;Volumen_total_guadalhorce_guadalteba;Variacion_total_guadalhorce_guadalteba;Desembalse_total_guadalhorce_guadalteba;Aportacion_aparente_total_guadalhorce_guadalteba;Cota_conde;Volumen_embalsado_conde;Variacion_volumen_conde;Filtraciones_conde;Volumen_desembalse_conde;Salinidad_conde;Toneladas_sal_conde;Volumen_evaporado_conde;Aportacion_aparente_conde;Volumen_total_guadalhorce_guadalteba_conde;Variacion_total_guadalhorce_guadalteba_conde;Desembalse_total_guadalhorce_guadalteba_conde;Aportacion_aparente_total_guadalhorce_guadalteba_conde;Caudal_total_demandas;Volumen_total_demandas;Salinidad_mezcla;Toneladas_sal_mezcla;Cota_gaitanejo;Volumen_gaitanejo;Volumen_central-reversible_tajo;Volumen_total_gaitanejo_tajo;Variacion_total_gaitanejo_tajo;Caudal_abastencimiento;Horas_abastecimiento;Min_abastecimiento;Volumen_abasteciemiento;Caudal_riego;Horas_riego;Min_riego;Volumen_riego;Caudal_ecologico;Horas_ecologico;Min_ecologico;Volumen_ecologico;Agua_sobrante;Total_volumen_abastecido;Aportacion_guadalhorce_tajo;Aportacion_arroyos_tajo;Total_aportacion
1;8:00;01;2016;;19;7;1,1;355,59;84,209;0,000;;;0,020;0,020;;;0,006;0,020;352,28;87,776;-0,106;03:29;9;;0,113;;0;0,006;0,007;171,985;-0,106;0,133;0,027;332,48;31,397;0,000;0,004;0,004;;;0,003;0,004;203,382;-0,106;0,137;0,031;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
2;8:00;01;2016;1;19;7;1,0;355,59;84,209;0,000;;;0,020;0,020;;0;0,005;0,020;352,26;87,669;-0,107;03:32;9;;0,114;;0;0,005;0,007;171,878;-0,107;0,134;0,027;332,49;31,429;0,032;0,004;0,004;;;0,003;0,036;203,307;-0,075;0,138;0,063;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
3;8:00;01;2016;0,9;18;7;0,5;355,59;84,209;0,000;;;0,020;0,020;;0;0,003;0,020;352,24;87,563;-0,106;04:00;9;;0,131;;0;0,003;0,025;171,772;-0,106;0,151;0,045;332,49;31,429;0,000;0,004;0,004;;;0,002;0,004;203,201;-0,106;0,155;0,049;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
4;08:00;01;2016;0;16;11;0,8;355,59;84,209;0,000;;;0,020;0,020;;0;0,004;0,020;352,22;87,457;-0,106;04:39;9;;0,151;;0;0,004;0,045;171,666;-0,106;0,171;0,065;332,49;31,429;0,000;0,004;0,004;;;0,003;0,004;203,095;-0,106;0,175;0,069;1,95;0,168;995;168;301,76;0,135;0,196;0,331;#ÁVALOR!;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
5;08:00;01;2016;8,4;17;12;1,5;355,59;84,209;0,000;;;0,020;0,020;2398;48;0,008;0,020;352,21;87,404;-0,053;05:09;9;;0,167;304;51;0,008;0,114;171,613;-0,053;0,187;0,134;332,50;31,460;0,031;0,004;0,004;;;0,005;0,035;203,073;-0,022;0,191;0,169;1,95;0,168;971;164;301,77;0,136;0,446;0,582;0,251;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
6;08:00;01;2016;1,5;12;5;1,4;355,59;84,209;0,000;;;0,020;0,020;;0;0,007;0,020;352,20;87,351;-0,053;03:01;9;;0,098;;0;0,007;0,045;171,560;-0,053;0,118;0,065;332,51;31,491;0,031;0,004;0,004;;;0,004;0,035;203,051;-0,022;0,122;0,100;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
7;08:00;01;2016;;13;5;1,6;355,59;84,209;0,000;;;0,020;0,020;;0;0,008;0,020;352,19;87,298;-0,053;03:58;9;;0,129;;0;0,008;0,076;171,507;-0,053;0,149;0,096;332,52;31,523;0,032;0,004;0,004;;;0,005;0,036;203,030;-0,021;0,153;0,132;1,95;0,168;959;162;301,76;0,135;0,391;0,526;#ÁVALOR!;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
8;08:00;01;2016;;14;9;1,4;355,60;84,263;0,054;;;0,020;0,020;2410;48;0,008;0,074;352,19;87,298;0,000;;;;0,000;;0;0,007;0,000;171,561;0,054;0,020;0,074;332,52;31,523;0,000;0,004;0,004;;;0,004;0,004;203,084;0,054;0,024;0,078;1,95;0,168;948;160;301,73;0,132;0,209;0,341;-0,185;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
9;08:00;01;2016;1;17;8;1,0;355,61;84,316;0,053;;;0,020;0,020;;0;0,005;0,073;352,20;87,351;0,053;;;;0,000;;0;0,005;0,053;171,667;0,106;0,020;0,126;332,50;31,460;-0,063;0,004;0,097;;;0,003;0,034;203,127;0,043;0,117;0,160;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
10;08:00;01;2016;0,5;15;7;0,4;355,62;84,369;0,053;;;0,020;0,020;;0;0,002;0,073;352,21;87,404;0,053;;;;0,000;;0;0,002;0,053;171,773;0,106;0,020;0,126;332,45;31,303;-0,157;0,004;0,191;;;0,001;0,034;203,076;-0,051;0,211;0,160;1,95;0,168;;0;;;;;;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
11;08:00;01;2016;;16;8;1,7;355,62;84,369;0,000;;;0,020;0,020;;0;0,009;0,020;352,21;87,404;0,000;;;;0,000;;0;0,009;0,000;171,773;0,000;0,020;0,020;332,46;31,335;0,032;0,004;0,004;;;0,005;0,036;203,108;0,032;0,024;0,056;1,95;0,168;831;140;301,46;0,105;0,022;0,127;#ÁVALOR!;1,6;24;0;0,138;0,0;24;0;0,000;0,35;24;0;0,030;0;0,168;;;
12;08:00;01;2016;4,5;16;8;1,7;355,63;84,423;0,054;;;0,020;0,020;2492;50;0,009;0,074;352,22;87,457;0,053;;;;0,000;;0;0,009;0,053;171,880;0,107;0,020;0,127;332,38;31,084;-0,251;0,004;0,285;;;0,005;0,034;202,964;-0,144;0,305;0,161;3,50;0,291;725;211;301,76;0,135;0,065;0,200;0,073;1,6;24;0;0,138;1,55;24;0;0,123;0,35;24;0;0,030;0;0,291;;;
13;08:00;01;2016;;15;5;2,2;355,63;84,423;0,000;01:50;9;0,020;0,069;;0;0,012;0,069;352,17;87,193;-0,264;07:00;9;;0,227;;0;0,012;-0,037;171,616;-0,264;0,296;0,032;332,39;31,115;0,031;0,004;0,004;;;0,007;0,035;202,731;-0,233;0,300;0,067;3,70;0,317;772;245;301,77;0,136;0,160;0,296;0,096;1,6;24;0;0,138;1,75;24;0;0,149;0,35;24;0;0,030;0;0,317;;;
14;08:00;01;2016;;14;8;1,9;355,64;84,476;0,053;01:50;9;0,020;0,069;2235;154;0,010;0,122;352,12;86,930;-0,263;9:00 a.Êm.;9;;0,292;;0;0,010;0,029;171,406;-0,210;0,361;0,151;332,39;31,115;0,000;0,004;0,004;;;0,006;0,004;202,521;-0,210;0,365;0,155;3,90;0,350;;0;301,77;0,136;0,180;0,316;0,020;1,6;24;0;0,138;1,95;24;0;0,182;0,35;24;0;0,030;0;0,350;;;
15;08:00;01;2016;0;16;7;1,3;355,64;84,476;0,000;02:00;9;0,020;0,085;2457;209;0,007;0,085;352,07;86,669;-0,261;11:45;9;;0,381;;0;0,007;0,120;171,145;-0,261;0,466;0,205;332,39;31,115;0,000;0,004;0,004;;;0,004;0,004;202,260;-0,261;0,470;0,209;4,10;0,360;772;278;301,97;0,160;0,250;0,410;0,094;1,6;24;0;0,138;2,15;24;0;0,192;0,35;24;0;0,030;0;0,360;;;
16;08:00;01;2016;;14;3;1,2;355,62;84,369;-0,107;02:00;9;0,020;0,085;;0;0,006;-0,022;352,02;86,408;-0,261;05:00;9;;0,162;;0;0,006264;-0,099;170,777;-0,368;0,247;-0,121;332,39;31,115;0,000;0,004;0,004;;;0,004;0,004;201,892;-0,368;0,251;-0,117;4,20;0,363;;0;;;;;;1,6;24;0;0,138;2,25;24;0;0,194;0,35;24;0;0,030;0;0,363;;;
17;08:00;01;2016;;13;3;2,0;355,60;84,263;-0,106;02:00;9;0,020;0,085;;0;0,011;-0,021;352,02;86,408;0,000;;;;0,000;;0;0,010;0,000;170,671;-0,106;0,085;-0,021;332,33;30,928;-0,187;0,004;0,238;;;0,006;0,051;201,599;-0,293;0,323;0,030;4,20;0,363;;0;;;;;;1,6;24;0;0,138;2,25;24;0;0,194;0,35;24;0;0,030;0;0,363;;;
18;08:00;01;2016;;12;6;1,6;355,59;84,209;-0,054;02:00;9;0,020;0,085;2480;211;0,009;0,031;352,02;86,408;0,000;;;;0,000;;0;0,008;0,000;170,617;-0,054;0,085;0,031;332,26;30,710;-0,218;0,004;0,239;;;0,005;0,021;201,327;-0,272;0,324;0,052;4,20;0,363;772;280;301,78;0,137;0,056;0,193;#ÁVALOR!;1,6;24;0;0,138;2,25;24;0;0,194;0,35;24;0;0,030;0;0,363;;;
19;08:00;01;2016;;15;6;1,2;355,58;84,156;-0,053;02:00;9;0,020;0,085;;0;0,006;0,032;351,98;86,201;-0,207;08:00;9;;0,259;;0;0,006;0,052;170,357;-0,260;0,344;0,084;332,26;30,710;0,000;0,004;0,004;;;0,004;0,004;201,067;-0,260;0,348;0,088;4,20;0,363;784;284;301,77;0,136;0,094;0,230;0,037;1,6;24;0;0,138;2,25;24;0;0,194;0,35;24;0;0,030;0;0,363;;;
20;08:00;01;2016;3;12;8;1,3;355,56;84,050;-0,106;02:00;9;0,020;0,085;2562;218;0,007;-0,021;351,93;85,942;-0,259;08:30;9;;0,275;;0;0,007;0,016;169,992;-0,365;0,360;-0,005;332,27;30,741;0,031;0,004;0,004;;;0,004;0,035;200,733;-0,334;0,364;0,030;4,20;0,363;784;284;301,78;0,137;0,109;0,246;0,016;1,6;24;0;0,138;2,25;24;0;0,194;0,35;24;0;0,030;0;0,363;;;
21;08:00;01;2016;0;14;8;0,5;355,56;84,050;0,000;02:00;9;0,020;0,085;2527;215;0,003;0,085;351,88;85,685;-0,257;8:30 a.Êm.;9;;0,275;;0;0,003;0,018;169,735;-0,257;0,360;0,103;332,27;30,741;0,000;0,004;0,014;;;0,002;0,014;200,476;-0,257;0,374;0,117;4,20;0,363;;0;301,77;0,136;0,171;0,307;0,061;1,6;24;0;0,138;2,25;24;0;0,194;0,35;24;0;0,030;0;0,363;;;
22;08:00;01;2016;0,1;15;10;0,6;355,55;83,996;-0,054;02:00;9;0,020;0,085;2574;219;0,003;0,031;351,82;85,376;-0,309;8:24 a.Êm.;9;;0,272;;0;0,003;-0,037;169,372;-0,363;0,357;-0,006;332,27;30,741;0,000;0,004;0,004;;;0,002;0,004;200,113;-0,363;0,361;-0,002;4,40;0,380;794;302;301,77;0,136;0,100;0,236;-0,071;1,6;24;0;0,138;2,45;24;0;0,212;0,35;24;0;0,030;0;0,380;;;
23;08:00;01;2016;;18;11;1,3;355,52;83,837;-0,159;04:58;9;0,020;0,181;2515;455;0,007;0,022;351,83;85,428;0,052;;;;0,000;;0;0,007;0,052;169,265;-0,107;0,181;0,074;332,28;30,772;0,031;0,004;0,004;;;0,004;0,035;200,037;-0,076;0,185;0,109;1,95;0,177;;0;;;;;;1,6;24;0;0,138;0;24;0;0,009;0,35;24;0;0,030;0;0,177;;;
